mk_individual_id,mk_status_id,mk_individual_name,mk_individual_name_eng,mk_individual_first_name,mk_individual_first_name_eng,mk_individual_email,mk_individual_photo,PersonID,LastName,FirstName,GenderID,GenderDesc,Email,IsCurrent,LastUpdatedDate,altnames
1132,0,מלר-הורוביץ,,ירדנה,,,https://oknesset.org/static/img/Female_portrait_placeholder_cropped.jpg,48,מלר-הורוביץ,ירדנה,250,נקבה,,False,2024-07-28 21:41:35,"[""ירדנה מלר-הורוביץ""]"
1133,0,פורדס,,גיורא,,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,122,פורדס,גיורא,251,זכר,,False,2020-03-23 23:33:55,"[""גיורא פורדס""]"
1134,0,לב,,דוד,,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,128,לב,דוד,251,זכר,,False,2020-03-23 23:40:56,"[""דוד לב""]"
1135,0,ימין,,אלינור,,אלינור ימין,https://oknesset.org/static/img/Female_portrait_placeholder_cropped.jpg,134,ימין,אלינור,250,נקבה,אלינור ימין,True,2020-11-19 13:43:11,"[""אלינור ימין""]"
1136,0,קפלן,,רות,,,https://oknesset.org/static/img/Female_portrait_placeholder_cropped.jpg,136,קפלן,רות,250,נקבה,,False,2020-03-23 23:40:27,"[""רות קפלן""]"
1137,0,"שד""ר",,יצחק,,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,150,"שד""ר",יצחק,251,זכר,,False,2020-03-23 23:39:50,"[""יצחק שד\""ר""]"
1138,0,אפיק,,שגית,,shlomite@knesset.gov.il,https://oknesset.org/static/img/Female_portrait_placeholder_cropped.jpg,230,אפיק,שגית,250,נקבה,shlomite@knesset.gov.il,True,2024-09-15 14:02:29,"[""שגית אפיק""]"
1139,0,גריף,,יוסי,,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,326,גריף,יוסי,251,זכר,,False,2021-11-30 13:25:49,"[""יוסי גריף""]"
1140,0,אלשטיין,,נורית,,,https://oknesset.org/static/img/Female_portrait_placeholder_cropped.jpg,354,אלשטיין,נורית,250,נקבה,,False,2020-03-23 23:33:15,"[""נורית אלשטיין""]"
1141,0,בדר,,נאזם,,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,365,בדר,נאזם,251,זכר,,False,2020-03-23 23:41:29,"[""נאזם בדר""]"
12,0,אלון,,בנימין,,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,405,אלון,בנימין,251,זכר,,False,2015-03-20 12:03:08,"[""בנימין אלון""]"
46,0,הנדל,,צבי,,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,412,הנדל,צבי,251,זכר,,False,2015-03-20 12:03:08,"[""צבי הנדל""]"
51,0,זאבי,,רחבעם,,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,417,זאבי,רחבעם,251,זכר,,False,2015-03-20 12:03:08,"[""רחבעם זאבי""]"
209,0,כהן,,אליעזר,,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,421,כהן,אליעזר,251,זכר,,False,2015-03-20 12:03:08,"[""אליעזר כהן""]"
214,0,ליברמן,,אביגדור,,aliberman@knesset.gov.il,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,427,ליברמן,אביגדור,251,זכר,aliberman@knesset.gov.il,True,2022-11-10 11:19:09,"[""אביגדור ליברמן""]"
121,0,שטרן,,יורי,,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,430,שטרן,יורי,251,זכר,,False,2018-03-11 12:20:46,"[""יורי שטרן""]"
704,0,אביטל,,קולט,,,https://oknesset.org/static/img/Female_portrait_placeholder_cropped.jpg,431,אביטל,קולט,250,נקבה,,False,2015-03-20 12:03:08,"[""קולט אביטל""]"
6,0,אושעיה,,אפי,,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,432,אושעיה,אפי,251,זכר,,False,2019-03-11 10:30:57,"[""אפי אושעיה""]"
8,0,איציק,,דליה,,,https://oknesset.org/static/img/Female_portrait_placeholder_cropped.jpg,433,איציק,דליה,250,נקבה,,False,2015-03-20 12:03:08,"[""דליה איציק""]"
137,0,בורג,,אברהם,,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,434,בורג,אברהם,251,זכר,,False,2015-03-20 12:03:08,"[""אברהם בורג""]"
20,0,בן-אליעזר,,בנימין,,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,435,בן-אליעזר,בנימין,251,זכר,,False,2015-03-20 12:03:08,"[""בנימין בן-אליעזר""]"
22,0,בן-מנחם,,אלי,,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,437,בן-מנחם,אלי,251,זכר,,False,2015-03-20 12:03:08,"[""אלי בן-מנחם""]"
23,0,בן-עמי,,שלמה,,,https://oknesset.org/static/img/Male_portrait_placeholder_cropped.jpg,439,בן-עמי,שלמה,251,זכר,,False,2015-03-20 12:03:08,"[""שלמה בן-עמי""]"
39,0,דיין,,יעל,,,https://oknesset.org/static/img/Female_portrait_placeholder_cropped.jpg,441,דיין,יעל,250,נקבה,,False,2015-03-20 12:03:08,
